Node,X,Y,Demand
0,98,27,65
1,45,120,31
2,75,52,70
3,194,117,33
4,125,147,32
5,160,175,67
6,17,117,52
7,179,43,61
8,102,112,74
9,47,23,23
10,26,22,0
11,8,149,22
12,68,193,33
13,112,59,66
14,187,102,53
15,114,172,37
16,110,126,50
17,44,37,24
18,37,160,0
19,166,158,57
20,127,134,23
21,125,75,27
22,45,51,58
23,12,132,57
24,77,79,34
25,181,159,34
26,169,189,22
27,172,176,0
28,35,60,31
29,166,98,21
30,190,69,0
31,12,141,63
32,88,178,27
33,100,157,30
34,168,26,49
35,15,77,31
36,21,9,25
37,69,101,56
38,125,177,76
39,156,102,60
40,85,154,77
41,19,178,65
42,98,49,61
43,34,15,89
44,90,39,33
45,100,126,69
46,74,94,36
47,136,157,50
48,133,95,34
49,59,16,49
