Node,X,Y,Year5,Year10
0,98,27,83,120
1,45,120,47,72
2,75,52,91,120
3,194,117,46,74
4,125,147,47,59
5,160,175,91,127
6,17,117,64,97
7,179,43,72,95
8,102,112,94,128
9,47,23,34,50
10,26,22,0,0
11,8,149,28,40
12,68,193,50,71
13,112,59,92,128
14,187,102,73,103
15,114,172,45,62
16,110,126,65,84
17,44,37,29,41
18,37,160,0,0
19,166,158,78,113
20,127,134,34,38
21,125,75,39,50
22,45,51,79,114
23,12,132,64,88
24,77,79,42,55
25,181,159,54,81
26,169,189,39,54
27,172,176,0,0
28,35,60,47,57
29,166,98,28,33
30,190,69,0,0
31,12,141,87,130
32,88,178,36,52
33,100,157,25,31
34,168,26,62,85
35,15,77,42,57
36,21,9,30,43
37,69,101,71,98
38,125,177,101,147
39,156,102,90,121
40,85,154,104,146
41,19,178,83,114
42,98,49,80,111
43,34,15,116,165
44,90,39,46,59
45,100,126,89,124
46,74,94,45,58
47,136,157,67,103
48,133,95,56,81
49,59,16,70,96
